,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
9810,Gujarat,1998,2,9,3,71,1,SHAIKHMOHMMAD FARUK H. (FARUK SHAIKH),M,INC,25445,,,52714,86750,KALUPUR,GEN,,,9,60.77,48.27,no,1.7,SAYYAD,MUSLIM UPPER CASTE,MUSLIM,,,2.22,MUSLIM UPPER CASTE
9819,Gujarat,1998,2,9,3,72,1,PATEL AMRISHKUMAR GOVINDLAL,M,BJP,46112,,,113579,221403,ASARWA,GEN,,,10,51.3,40.6,no,0.84,PATEL,INTERMEDIARY CASTE,HINDU,,,2.86,INTERMEDIARY CASTE
9829,Gujarat,1998,2,9,3,73,1,JHADFIYA GORDHANBHAI P.,M,BJP,44196,,,90037,170260,RAKHIAL,GEN,,,9,52.88,49.09,no,18.48,PATEL,INTERMEDIARY CASTE,HINDU,,,2.86,INTERMEDIARY CASTE
9838,Gujarat,1998,2,9,3,74,1,MANUBHAI PARMAR,M,INC,24788,,,60182,119205,SHAHER KOTDA,SC,,,9,50.49,41.19,no,6.51,JATAV,SC,HINDU,,,3.12,SC
9847,Gujarat,1998,2,9,3,75,1,ASHOK BHATT,M,BJP,29303,,,45843,90741,KHADIA,GEN,,,7,50.52,63.92,no,44.64,BRAHMIN,UPPER CASTE,HINDU,,,2.08,UPPER CASTE
9854,Gujarat,1998,2,9,3,76,1,DEVDIWALA USMANGANI I.,M,IND,34600,,,74657,139759,JAMALPUR,GEN,,,12,53.42,46.35,no,14.42,SAYYAD,MUSLIM UPPER CASTE,MUSLIM,,,2.7,MUSLIM UPPER CASTE
9866,Gujarat,1998,2,9,3,77,1,KAMLESH PATEL,M,BJP,82652,,,135191,325209,MANINAGAR,GEN,,,10,41.57,61.14,no,28.89,PATEL,INTERMEDIARY CASTE,HINDU,,,2.13,INTERMEDIARY CASTE
9876,Gujarat,1998,2,9,3,78,1,KODNANI MAYABEN SURENDRABHAI,F,BJP,116269,,,170001,360573,NARODA,GEN,,,5,47.15,68.39,no,44.03,SINDHI,UPPER CASTE,HINDU,,,1.89,UPPER CASTE
9881,Gujarat,1998,2,9,3,79,1,PATEL VADIBHAI BHAISCHANDDAS,M,BJP,53824,,,133224,211260,GANDHINAGAR,GEN,,,4,63.06,40.4,no,9.33,PATEL,NOT ASCERTAINED,HINDU,,,2.94,NOT ASCERTAINED
9885,Gujarat,1998,2,9,3,80,1,PATEL SURESHKUMAR CHATURDAS,M,INC,43607,,,99960,157486,KALOL-I,GEN,,,6,63.47,43.62,no,1.5,PATEL,INTERMEDIARY CASTE,HINDU,,,2.63,INTERMEDIARY CASTE
9897,Gujarat,1998,2,9,3,81,1,NITIN RATILAL PATEL,M,BJP,53205,,,105560,148753,KADI,GEN,,,10,70.96,50.4,no,10.12,PATEL,INTERMEDIARY CASTE,HINDU,,,2.44,INTERMEDIARY CASTE
9910,Gujarat,1998,2,9,3,82,1,ISHVARBHAI DHANABHAI MAKWANA,M,BJP,44738,,,91122,143400,JOTANA,SC,,,11,63.54,49.1,no,21.83,JATAV,SC,HINDU,,,2.94,SC
9918,Gujarat,1998,2,9,3,83,1,KHODABHAI N.PATEL,M,BJP,43026,,,105281,167573,MEHSANA,GEN,,,12,62.83,40.87,no,2.94,PATEL,INTERMEDIARY CASTE,HINDU,,,3.12,INTERMEDIARY CASTE
9924,Gujarat,1998,2,9,3,84,1,PATEL MANGALDAS MADHAVLAL,M,BJP,45096,,,113276,151293,MANSA,GEN,,,8,74.87,39.81,no,7.35,PATEL,INTERMEDIARY CASTE,HINDU,,,2.94,INTERMEDIARY CASTE
9932,Gujarat,1998,2,9,3,85,1,RAVAL NARESHKUMAR GANGARAM,M,INC,38615,,,111152,155935,VIJAPUR,GEN,,,12,71.28,34.74,no,9.14,BRAHMIN,UPPER CASTE,HINDU,,,3.7,UPPER CASTE
9944,Gujarat,1998,2,9,3,86,1,PATEL PRAHALADBHAI MOHANLAL (GOSA),M,BJP,34075,,,115425,156429,VISNAGAR,GEN,,,5,73.79,29.52,no,3.06,PATEL,INTERMEDIARY CASTE,HINDU,,,3.45,INTERMEDIARY CASTE
9949,Gujarat,1998,2,9,3,87,1,THAKOR SHREE SHANKARJI OKHAJI,M,INC,34013,,,97987,138352,KHERALU,GEN,,,4,70.82,34.71,no,2.06,KURMI,OBC PP,HINDU,,,3.03,OBC PP
9953,Gujarat,1998,2,9,3,88,1,PATEL NARAYANBHAI LALLUDAS,M,BJP,61378,,,99264,151484,UNJHA,GEN,,,4,65.53,61.83,no,32.0,PATEL,INTERMEDIARY CASTE,HINDU,,,2.13,INTERMEDIARY CASTE
9957,Gujarat,1998,2,9,3,89,1,JAY NARAYAN VYAS,M,BJP,38624,,,91075,138117,SIDHPUR,GEN,,,5,65.94,42.41,no,5.77,BRAHMIN,UPPER CASTE,HINDU,,,2.86,UPPER CASTE
9962,Gujarat,1998,2,9,3,90,1,DESAI RANCHHOD MAHIJIBHAI,M,BJP,35194,,,94686,155881,VAGDOD,GEN,,,3,60.74,37.17,no,2.07,BRAHMIN,NOT ASCERTAINED,HINDU,,,2.94,NOT ASCERTAINED
9965,Gujarat,1998,2,9,3,91,1,PATEL MOHANBHAI HIRABHAI,M,BJP,41421,,,83591,149308,PATAN,GEN,,,6,55.99,49.55,no,13.65,PATEL,INTERMEDIARY CASTE,HINDU,,,2.56,INTERMEDIARY CASTE
9971,Gujarat,1998,2,9,3,92,1,ARVIND T. PATEL,M,BJP,34620,,,84195,114425,CHANASMA,GEN,,,6,73.58,41.12,no,7.49,PATEL,INTERMEDIARY CASTE,HINDU,,,2.94,INTERMEDIARY CASTE
9977,Gujarat,1998,2,9,3,93,1,THAKOR DILIPKUMAR VIRAJIBHAI,M,BJP,37742,,,83669,129149,SAMI,GEN,,,6,64.78,45.11,no,17.55,KURMI,OBC PP,HINDU,,,2.94,OBC PP
9983,Gujarat,1998,2,9,3,94,1,PATEL SHANKARBHAI LAGDHIRBHAI (SHANKARBHAI,M,BJP,39700,,,86347,149757,RADHANPUR,GEN,,,7,57.66,45.98,no,20.18,PATEL,INTERMEDIARY CASTE,ANIMIST(TRIBAL),,,3.03,INTERMEDIARY CASTE
9990,Gujarat,1998,2,9,3,95,1,RAJPUT HEMAJI DARAGHAJI,M,INC,72730,,,125735,166404,VAV,GEN,,,6,75.56,57.84,no,19.05,RAJPUT,UPPER CASTE,HINDU,,,2.08,UPPER CASTE
9996,Gujarat,1998,2,9,3,96,1,VAGELA LILADHARBHAI KHODAJI,M,BJP,42300,,,98675,144486,DEODAR,GEN,,,5,68.29,42.87,no,9.35,OTHER SC,OBC PP,HINDU,,,2.94,OBC PP
10001,Gujarat,1998,2,9,3,97,1,VAGHELA MAGANSINH CHIMANSINH,M,BJP,51345,,,94516,143419,KANKREJ,GEN,,,4,65.9,54.32,no,20.44,OTHER SC,OBC PP,HINDU,,,2.44,OBC PP
10005,Gujarat,1998,2,9,3,98,1,GORDHANJI GIGAJI MALI,M,BJP,51342,,,112809,163163,DEESA,GEN,,,7,69.14,45.51,no,9.26,OTHER UPPER CASTE,NOT ASCERTAINED,HINDU,,,2.78,NOT ASCERTAINED
10012,Gujarat,1998,2,9,3,99,1,PATEL HARJIVANBHAI HIRABHAI,M,BJP,55883,,,107435,156606,DHANERA,GEN,,,9,68.6,52.02,no,12.45,KURMI,OBC PP,HINDU,,,2.33,OBC PP
10021,Gujarat,1998,2,9,3,100,1,TRIVEDI REKHABEN HITENDRABHAI,F,BJP,44485,,,101514,168642,PALANPUR,GEN,,,3,60.19,43.82,no,7.03,BRAHMIN,UPPER CASTE,HINDU,,,2.7,UPPER CASTE
10024,Gujarat,1998,2,9,3,101,1,DOLATBHAI PARMAR,M,INC,35002,,,97970,156290,VADGAM,SC,,,7,62.68,35.73,no,2.88,JATAV,SC,HINDU,,,3.23,SC
10031,Gujarat,1998,2,9,3,102,1,GADHVI MUKESH B.,M,INC,49033,,,110944,172214,DANTA,GEN,,,8,64.42,44.2,no,18.14,OTHER UPPER CASTE,OBC PP,HINDU,,,3.23,OBC PP
10039,Gujarat,1998,2,9,3,103,1,AMARSINH BHILABHAI CHAUDHARY,M,INC,54725,,,93137,149210,KHEDBRAHMA,ST,,,4,62.42,58.76,no,27.55,BHIL,ST,ANIMIST(TRIBAL),,,2.17,ST
10043,Gujarat,1998,2,9,3,104,1,RAMANLAL VORA,M,BJP,50011,,,92624,148137,IDAR,SC,,,5,62.53,53.99,no,27.48,OTHER UPPER CASTE,UPPER CASTE,HINDU,,,2.56,UPPER CASTE
10048,Gujarat,1998,2,9,3,105,1,UPENDRA TRIVEDI,M,IND,34035,,,99758,160204,BHILODA,GEN,,,4,62.27,34.12,no,7.32,BRAHMIN,UPPER CASTE,HINDU,,,3.7,UPPER CASTE
