,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
12289,2007,108,MODASA,GEN,PARMAR DILIPSIHJI VAKHATSIHJI,M,BJP,60.37
12293,2007,109,BAYAD,GEN,ZALA UDESINH PUNJAJI,M,BJP,54.73
12300,2007,110,MEGHRAJ,GEN,VAGHELA MAHENDRASINH SHANKARSINH,M,INC,58.2
12306,2007,111,SANTRAMPUR,GEN,PARMAR PARANJAYADITYASINHJI KRISHNAKUMARSINHJI,M,INC,55.5
12312,2007,112,JHALOD,ST,MACHHAR DITABHAI BHIMABHAI,M,INC,48.18
12315,2007,113,LIMDI,ST,KISHORI BACHUBHAI NATHABHAI,M,INC,48.91
12319,2007,114,DOHAD,ST,PANADA VAJESINGBHAI PARSINGBHAI,M,INC,48.19
12326,2007,115,LIMKHEDA,ST,SMR. BARIYA CHANDRIKABEN CHHAGANBHAI,F,INC,42.78
12333,2007,116,DEVGADH BARIA,GEN,MAHARAUL TUSHARSINH KANAKSINH,M,NCP,60.85
12339,2007,117,RAJGADH,GEN,CHAUHAN FATESINH VAKHATSINH,M,BJP,55.02
12345,2007,118,HALOL,GEN,PARMAR JAYDRATHSINHJI CHANDRASINHJI,M,BJP,63.59
12348,2007,119,KALOL,GEN,RATHOD ARVINDSINH DAMSINH,M,BJP,54.27
12355,2007,120,GODHRA,GEN,C.K. RAULJI,M,INC,57.68
12360,2007,121,SHEHRA,GEN,AHIR (BHARWAD) JETHABHAI GHELABHAI,M,BJP,58.42
12363,2007,122,LUNAVADA,GEN,PATEL HIRABHAI HARIBHAI,M,INC,51.36
12369,2007,123,RANDHIKPUR,ST,JASVANTSINH SUMANBHAI BHABHOR,M,BJP,53.54
12371,2007,124,BALASINOR,GEN,CHAUHAN MANSINH KOHYABHAI,M,INC,65.03
12376,2007,125,KAPADVANJ,GEN,PATEL MANIBHAI DEVJIBHAI,M,INC,66.67
12384,2007,126,THASRA,GEN,PARMAR RAMSINH PRABHATSINH,M,INC,61.15
12387,2007,127,UMRETH,GEN,VADODIA LALSINH UDESHINH,M,INC,63.19
12393,2007,128,KATHLAL,GEN,ZALA GAUTAMBHAI JESANGBHAI,M,INC,58.78
12397,2007,129,MEHMEDABAD,GEN,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,59.41
12400,2007,130,MAHUDHA,GEN,NATVARSINH FULSINH THAKOR,M,INC,55.89
12407,2007,131,NADIAD,GEN,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,65.81
12412,2007,132,CHAKALASI,GEN,VAGHELA SHANKARBHAI DESAIBHAI,M,INC,60.06
12415,2007,133,ANAND,GEN,PATEL JYOTSNABEN RAJUBHAI,F,BJP,63.25
12423,2007,134,SARSA,GEN,JAYANTBHAI RAMANBHAI PATEL (BOSKEY),M,NCP,66.17
12427,2007,135,PETLAD,GEN,NIRANJAN PATEL,M,INC,66.23
12432,2007,136,SOJITRA,SC,ROHIT AMBALAL ASHABHAI,M,BJP,64.91
12435,2007,137,MATAR,GEN,CHAUHAN DEVUSINH JESINGBHAI,M,BJP,63.31
12437,2007,138,BORSAD,GEN,AMITKUMAR AJITKUMAR CHAVDA,M,INC,64.41
12443,2007,139,BHADRAN,GEN,PARMAR RAJENDRASINH DHIRSINH,M,INC,61.83
12449,2007,140,CAMBAY,GEN,SHUKAL SHIRISHKUMAR MADHUSUDAN,M,BJP,60.62
12454,2007,141,CHHOTA UDAIPUR,ST,GULSINGHBHAI RANGALABHAI RATHVA,M,BJP,51.1
12459,2007,142,JETPUR-I,ST,MOHANSINH CHHOTUBHAI RATHAVA,M,INC,59.15
12462,2007,143,NASVADI,ST,BHIL DHIRUBHAI CHUNILAL,M,INC,57.72
12470,2007,144,SANKHEDA,ST,TADVI ABHESINH MOTIBHAI,M,BJP,60.28
12477,2007,145,DABHOI,GEN,SIDDHARTH CHIMANBHAI PATEL,M,INC,70.45
12487,2007,146,SAVLI,GEN,CHAUHAN KHUMANSINH RAYSINH,M,INC,64.3
12492,2007,147,BARODA CITY,GEN,LAKHAWALA BHUPENDRABHAI GATULAL,M,BJP,54.53
12498,2007,148,SAYAJIGANJ,GEN,JITENDRA SUKHADIYA,M,BJP,54.25
12509,2007,149,RAOPURA,GEN,YOGESH PATEL,M,BJP,54.6
12515,2007,150,VAGHODIA,GEN,SHRIVASTAV MADHUBHAI BABUBHAI,M,BJP,63.03
12523,2007,151,BARODA RURAL,GEN,GOHIL UPENDRASINH PRATAPSINH,M,BJP,59.61
12528,2007,152,PADRA,GEN,DINESHBHAI B PATEL (DINU MAMA),M,IND,64.47
12534,2007,153,KARJAN,SC,DABHI CHANDUBHAI MOTIBHAI,M,INC,65.93
12538,2007,154,JAMBUSAR,GEN,KIRANKUMAR LAKSHMANBHAI MAKWANA,M,INC,57.31
12548,2007,155,VAGRA,GEN,IQBAL PATEL,M,INC,66.71
12556,2007,156,BROACH,GEN,DUSHYANTBHAI RAJNIKANT PATEL,M,BJP,62.97
12568,2007,157,ANKLESHWAR,GEN,PATEL ISHWARSINH THAKORBHAI,M,BJP,67.08
12578,2007,158,JHAGADIA,ST,VASAVA CHHOTUBHAI AMARASINHBHAI,M,JD(U),66.92
12582,2007,159,DEDIAPADA,ST,VASAVA AMARSINH RAMSINH,M,INC,70.81
12591,2007,160,RAJPIPLA,ST,HARSHADBHAI CHUNILAL VASAVA,M,BJP,68.08
12601,2007,161,NIJHAR,ST,PARESHBHAI GOVINDBHAI VASAVA,M,INC,65.65
12609,2007,162,MANGROL-I,ST,VASAVA GANPATSINH VESTABHAI,M,BJP,69.41
12614,2007,163,SONGADH,ST,VASAVA PRABUBHAI NAGARBHAI,M,INC,67.95
12621,2007,164,VYARA,ST,GAMIT PUNABHAI DHEDABHAI,M,INC,68.15
12628,2007,165,MAHUVA-I,ST,ISHAWARBHAI NARSINHBHAI VAHIA,M,INC,67.45
12631,2007,166,BARDOLI,ST,HALPATI KUVARJIBHAI NARSINHBHAI,M,INC,66.35
12636,2007,167,KAMREJ,ST,RATHOD BHARTIBEN AMRUTBHAI,F,BJP,6.8
12641,2007,168,OLPAD,GEN,PATEL KIRITBHAI GANGARAMBHAI,M,BJP,52.16
12649,2007,169,SURAT CITY NORTH,GEN,VANANI NANUBHAI BHAGVANBHAI,M,BJP,60.53
12659,2007,170,SURAT CITY EAST,GEN,GILITWALA RANJITBHAI MANGUBHAI,M,BJP,59.45
12670,2007,171,SURAT CITY WEST,GEN,KISHOR VANKAWALA,M,BJP,57.43
12678,2007,172,CHORASI,GEN,NAROTTAMBHAI PATEL,M,BJP,53.42
