Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
2002,122,LUNAVADA,GEN,MALIWAD KALUBHAI HIRABHAI,M,BJP,65.37
2002,130,MAHUDHA,GEN,THAKOR NATVARSINH FULSINH,M,INC,63.79
2002,54,MAHUVA,GEN,DR. KANUBHAI VALABHAI KALSARIYA,M,BJP,47.52
2002,165,MAHUVA-I,ST,DHODIYA MOHANBHAI DHANJIBHAI,M,BJP,59.64
2002,41,MALIYA,GEN,JOSHI BHIKHABHAI GALABHAI,M,INC,64.21
2002,35,MANAVADAR,GEN,SUREJA RATEEBHAI GORDHANBHAI,M,BJP,66.42
2002,62,MANDAL,GEN,PATEL PRAGJIBHAI NARANBHAI,M,BJP,60.42
2002,2,MANDVI,GEN,PATEL CHHABILBHAI NARANBHAI,M,INC,64.5
2002,34,MANGROL,GEN,DR. CHUDASAMA CHANDRIKABEN KANJIBHAI,F,INC,67.84
2002,162,MANGROL-I,ST,VASAVA GANPATBHAI VESTABHAI,M,BJP,68.24
2002,77,MANINAGAR,GEN,NARENDRA MODI,M,BJP,50.19
2002,84,MANSA,GEN,PRO. MANGALBHAI PATEL,M,BJP,66.57
2002,137,MATAR,GEN,RAKESH RAO ADVOCATE,M,BJP,68.27
2002,110,MEGHRAJ,GEN,PARMAR BHIKHIBEN GIRVATSINH,F,BJP,64.82
2002,129,MEHMEDABAD,GEN,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,58.96
